package,protocol,requested,resolved
"@esbuild/linux-mips64el","npm","0.21.5","0.21.5"
"@esbuild/linux-mips64el","npm","0.23.1","0.23.1"
"@esbuild/linux-ppc64","npm","0.18.20","0.18.20"
"@esbuild/linux-ppc64","npm","0.19.12","0.19.12"
"@esbuild/linux-ppc64","npm","0.20.2","0.20.2"
"@esbuild/linux-ppc64","npm","0.21.5","0.21.5"
"@esbuild/linux-ppc64","npm","0.23.1","0.23.1"
"@esbuild/linux-riscv64","npm","0.18.20","0.18.20"
"@esbuild/linux-riscv64","npm","0.19.12","0.19.12"
"@esbuild/linux-riscv64","npm","0.20.2","0.20.2"
"@esbuild/linux-riscv64","npm","0.21.5","0.21.5"
"@esbuild/linux-riscv64","npm","0.23.1","0.23.1"
"@esbuild/linux-s390x","npm","0.18.20","0.18.20"
"@esbuild/linux-s390x","npm","0.19.12","0.19.12"
"@esbuild/linux-s390x","npm","0.20.2","0.20.2"
"@esbuild/linux-s390x","npm","0.21.5","0.21.5"
"@esbuild/linux-s390x","npm","0.23.1","0.23.1"
"@esbuild/linux-x64","npm","0.18.20","0.18.20"
"@esbuild/linux-x64","npm","0.19.12","0.19.12"
"@esbuild/linux-x64","npm","0.20.2","0.20.2"
"@esbuild/linux-x64","npm","0.21.5","0.21.5"
"@esbuild/linux-x64","npm","0.23.1","0.23.1"
"@esbuild/netbsd-x64","npm","0.18.20","0.18.20"
"@esbuild/netbsd-x64","npm","0.19.12","0.19.12"
"@esbuild/netbsd-x64","npm","0.20.2","0.20.2"
"@esbuild/netbsd-x64","npm","0.21.5","0.21.5"
"@esbuild/netbsd-x64","npm","0.23.1","0.23.1"
"@esbuild/openbsd-arm64","npm","0.23.1","0.23.1"
"@esbuild/openbsd-x64","npm","0.18.20","0.18.20"
"@esbuild/openbsd-x64","npm","0.19.12","0.19.12"
"@esbuild/openbsd-x64","npm","0.20.2","0.20.2"
"@esbuild/openbsd-x64","npm","0.21.5","0.21.5"
"@esbuild/openbsd-x64","npm","0.23.1","0.23.1"
"@esbuild/sunos-x64","npm","0.18.20","0.18.20"
"@esbuild/sunos-x64","npm","0.19.12","0.19.12"
"@esbuild/sunos-x64","npm","0.20.2","0.20.2"
"@esbuild/sunos-x64","npm","0.21.5","0.21.5"
"@esbuild/sunos-x64","npm","0.23.1","0.23.1"
"@esbuild/win32-arm64","npm","0.18.20","0.18.20"
"@esbuild/win32-arm64","npm","0.19.12","0.19.12"
"@esbuild/win32-arm64","npm","0.20.2","0.20.2"
"@esbuild/win32-arm64","npm","0.21.5","0.21.5"
"@esbuild/win32-arm64","npm","0.23.1","0.23.1"
"@esbuild/win32-ia32","npm","0.18.20","0.18.20"
"@esbuild/win32-ia32","npm","0.19.12","0.19.12"
"@esbuild/win32-ia32","npm","0.20.2","0.20.2"
"@esbuild/win32-ia32","npm","0.21.5","0.21.5"
"@esbuild/win32-ia32","npm","0.23.1","0.23.1"
"@esbuild/win32-x64","npm","0.18.20","0.18.20"
"@esbuild/win32-x64","npm","0.19.12","0.19.12"
"@esbuild/win32-x64","npm","0.20.2","0.20.2"
"@esbuild/win32-x64","npm","0.21.5","0.21.5"
"@esbuild/win32-x64","npm","0.23.1","0.23.1"
"@eslint-community/eslint-utils","npm","^4.2.0","4.4.0"
"@eslint-community/eslint-utils","npm","^4.4.0","4.4.0"
"@eslint-community/regexpp","npm","^4.5.1","4.10.0"
"@eslint-community/regexpp","npm","^4.6.1","4.10.0"
"@eslint/eslintrc","npm","^0.4.3","0.4.3"
"@eslint/eslintrc","npm","^2.1.4","2.1.4"
"@eslint/js","npm","8.57.0","8.57.0"
"@eslint/js","npm","8.57.1","8.57.1"
"@exodus/schemasafe","npm","^1.0.0-rc.2","1.3.0"
"@floating-ui/core","npm","^1.0.0","1.6.1"
"@floating-ui/dom","npm","^1.0.0","1.6.5"
"@floating-ui/react-dom","npm","^2.0.0","2.0.9"
"@floating-ui/utils","npm","^0.2.0","0.2.2"
"@formatjs/ecma402-abstract","npm","1.18.2","1.18.2"
"@formatjs/fast-memoize","npm","2.2.0","2.2.0"
"@formatjs/icu-messageformat-parser","npm","2.7.6","2.7.6"
"@formatjs/icu-skeleton-parser","npm","1.8.0","1.8.0"
"@formatjs/intl-localematcher","npm","0.5.4","0.5.4"
"@graphql-codegen/core","npm","^4.0.2","4.0.2"
"@graphql-codegen/plugin-helpers","npm","^5.0.3","5.0.4"
"@graphql-codegen/plugin-helpers","npm","^5.0.4","5.0.4"
"@graphql-codegen/schema-ast","npm","^4.0.2","4.1.0"
"@graphql-codegen/typescript","npm","^4.0.9","4.0.9"
"@graphql-codegen/visitor-plugin-common","npm","5.3.1","5.3.1"
"@graphql-tools/merge","npm","^9.0.3","9.0.4"
"@graphql-tools/merge","npm","^9.0.6","9.0.7"
"@graphql-tools/merge","npm","^9.0.7","9.0.7"
"@graphql-tools/optimize","npm","^2.0.0","2.0.0"
"@graphql-tools/relay-operation-optimizer","npm","^7.0.0","7.0.1"
"@graphql-tools/schema","npm","^10.0.0","10.0.3"
"@graphql-tools/schema","npm","^10.0.6","10.0.6"
"@graphql-tools/utils","npm","^10.0.0","10.5.4"
"@graphql-tools/utils","npm","^10.0.13","10.2.0"
"@graphql-tools/utils","npm","^10.5.4","10.5.4"
"@graphql-typed-document-node/core","npm","^3.1.1","3.2.0"
"@grpc/grpc-js","npm","^1.7.1","1.11.2"
"@grpc/proto-loader","npm","^0.7.13","0.7.13"
"@hapi/hoek","npm","^9.0.0","9.3.0"
"@hapi/hoek","npm","^9.3.0","9.3.0"
"@hapi/topo","npm","^5.1.0","5.1.0"
"@hookform/error-message","npm","^2.0.1","2.0.1"
"@hookform/resolvers","npm","3.4.2","3.4.2"
"@humanwhocodes/config-array","npm","^0.11.14","0.11.14"
"@humanwhocodes/config-array","npm","^0.13.0","0.13.0"
"@humanwhocodes/config-array","npm","^0.5.0","0.5.0"
"@humanwhocodes/module-importer","npm","^1.0.1","1.0.1"
"@humanwhocodes/momoa","npm","^2.0.3","2.0.4"
"@humanwhocodes/object-schema","npm","^1.2.0","1.2.1"
"@humanwhocodes/object-schema","npm","^2.0.2","2.0.3"
"@humanwhocodes/object-schema","npm","^2.0.3","2.0.3"
"@inquirer/checkbox","npm","^2.3.11","2.3.11"
"@inquirer/confirm","npm","^3.0.0","3.1.7"
"@inquirer/core","npm","^8.2.0","8.2.0"
"@inquirer/core","npm","^9.0.10","9.0.10"
"@inquirer/core","npm","^9.0.3","9.0.3"
"@inquirer/figures","npm","^1.0.1","1.0.1"
"@inquirer/figures","npm","^1.0.3","1.0.6"
"@inquirer/figures","npm","^1.0.4","1.0.4"
"@inquirer/figures","npm","^1.0.5","1.0.5"
"@inquirer/input","npm","^2.2.9","2.2.9"
"@inquirer/type","npm","^1.3.1","1.3.1"
"@inquirer/type","npm","^1.5.0","1.5.0"
"@inquirer/type","npm","^1.5.2","1.5.2"
"@internationalized/date","npm","^3.5.4","3.5.4"
"@internationalized/message","npm","^3.1.4","3.1.4"
"@internationalized/number","npm","^3.5.3","3.5.3"
"@internationalized/string","npm","^3.2.3","3.2.3"
"@ioredis/commands","npm","^1.1.1","1.2.0"
"@isaacs/cliui","npm","^8.0.2","8.0.2"
"@istanbuljs/load-nyc-config","npm","^1.0.0","1.1.0"
"@istanbuljs/schema","npm","^0.1.2","0.1.3"
"@istanbuljs/schema","npm","^0.1.3","0.1.3"
"@jercle/yargonaut","npm","^1.1.5","1.1.5"
"@jercle/yargonaut","npm","1.1.5","1.1.5"
"@jest/console","npm","^29.7.0","29.7.0"
"@jest/core","npm","^29.7.0","29.7.0"
"@jest/create-cache-key-function","npm","^29.7.0","29.7.0"
"@jest/environment","npm","^29.7.0","29.7.0"
"@jest/expect","npm","^29.7.0","29.7.0"
"@jest/expect-utils","npm","^29.7.0","29.7.0"
"@jest/fake-timers","npm","^29.7.0","29.7.0"
"@jest/globals","npm","^29.7.0","29.7.0"
"@jest/reporters","npm","^29.7.0","29.7.0"
"@jest/schemas","npm","^29.6.3","29.6.3"
"@jest/source-map","npm","^29.6.3","29.6.3"
"@jest/test-result","npm","^29.7.0","29.7.0"
"@jest/test-sequencer","npm","^29.7.0","29.7.0"
"@jest/transform","npm","^29.7.0","29.7.0"
"@jest/types","npm","^29.6.3","29.6.3"
"@joshwooding/vite-plugin-react-docgen-typescript","npm","0.3.0","0.3.0"
"@jridgewell/gen-mapping","npm","^0.3.2","0.3.5"
"@jridgewell/gen-mapping","npm","^0.3.5","0.3.5"
"@jridgewell/resolve-uri","npm","^3.0.3","3.1.2"
"@jridgewell/resolve-uri","npm","^3.1.0","3.1.2"
"@jridgewell/set-array","npm","^1.2.1","1.2.1"
"@jridgewell/source-map","npm","^0.3.3","0.3.6"
"@jridgewell/sourcemap-codec","npm","^1.4.10","1.4.15"
"@jridgewell/sourcemap-codec","npm","^1.4.13","1.4.15"
"@jridgewell/sourcemap-codec","npm","^1.4.14","1.4.15"
"@jridgewell/sourcemap-codec","npm","^1.4.15","1.4.15"
"@jridgewell/sourcemap-codec","npm","^1.5.0","1.5.0"
"@jridgewell/trace-mapping","npm","^0.3.12","0.3.25"
"@jridgewell/trace-mapping","npm","^0.3.18","0.3.25"
"@jridgewell/trace-mapping","npm","^0.3.24","0.3.25"
"@jridgewell/trace-mapping","npm","^0.3.25","0.3.25"
"@jridgewell/trace-mapping","npm","0.3.9","0.3.9"
"@js-sdsl/ordered-map","npm","^4.4.2","4.4.2"
"@jsdevtools/ono","npm","^7.1.3","7.1.3"
"@juggle/resize-observer","npm","^3.3.1","3.4.0"
"@manypkg/find-root","npm","^1.1.0","1.1.0"
"@manypkg/get-packages","npm","^1.1.3","1.1.3"
"@mdn/browser-compat-data","npm","^5.3.7","5.5.25"
"@mdx-js/react","npm","^3.0.0","3.0.1"
"@medusajs/admin-bundler","","^2.0.7","0.0.0-use.local"
"@medusajs/admin-bundler","workspace","packages/admin/admin-bundler","0.0.0-use.local"
"@medusajs/admin-sdk","workspace","packages/admin/admin-sdk","0.0.0-use.local"
"@medusajs/admin-shared","","^2.0.7","0.0.0-use.local"
"@medusajs/admin-shared","","2.0.7","0.0.0-use.local"
"@medusajs/admin-shared","workspace","packages/admin/admin-shared","0.0.0-use.local"
"@medusajs/admin-vite-plugin","","2.0.7","0.0.0-use.local"
"@medusajs/admin-vite-plugin","workspace","packages/admin/admin-vite-plugin","0.0.0-use.local"
"@medusajs/api-key","workspace","^","0.0.0-use.local"
"@medusajs/api-key","","^2.0.7","0.0.0-use.local"
"@medusajs/api-key","workspace","packages/modules/api-key","0.0.0-use.local"
"@medusajs/auth","workspace","*","0.0.0-use.local"
"@medusajs/auth","","^2.0.7","0.0.0-use.local"
"@medusajs/auth","workspace","packages/modules/auth","0.0.0-use.local"
"@medusajs/auth-emailpass","","^2.0.7","0.0.0-use.local"
"@medusajs/auth-emailpass","workspace","packages/modules/providers/auth-emailpass","0.0.0-use.local"
"@medusajs/auth-github","","^2.0.7","0.0.0-use.local"
"@medusajs/auth-github","workspace","packages/modules/providers/auth-github","0.0.0-use.local"
"@medusajs/auth-google","","^2.0.7","0.0.0-use.local"
"@medusajs/auth-google","workspace","packages/modules/providers/auth-google","0.0.0-use.local"
"@medusajs/cache-inmemory","workspace","*","0.0.0-use.local"
"@medusajs/cache-inmemory","","^2.0.7","0.0.0-use.local"
"@medusajs/cache-inmemory","workspace","packages/modules/cache-inmemory","0.0.0-use.local"
"@medusajs/cache-redis","","^2.0.7","0.0.0-use.local"
"@medusajs/cache-redis","workspace","packages/modules/cache-redis","0.0.0-use.local"
"@medusajs/cart","","^2.0.7","0.0.0-use.local"
"@medusajs/cart","workspace","packages/modules/cart","0.0.0-use.local"
"@medusajs/cli","","^2.0.7","0.0.0-use.local"
"@medusajs/cli","workspace","packages/cli/medusa-cli","0.0.0-use.local"
"@medusajs/core-flows","workspace","*","0.0.0-use.local"
"@medusajs/core-flows","workspace","^","0.0.0-use.local"
"@medusajs/core-flows","","^2.0.7","0.0.0-use.local"
"@medusajs/core-flows","workspace","packages/core/core-flows","0.0.0-use.local"
"@medusajs/currency","workspace","^","0.0.0-use.local"
"@medusajs/currency","","^2.0.7","0.0.0-use.local"
"@medusajs/currency","workspace","packages/modules/currency","0.0.0-use.local"
"@medusajs/customer","workspace","^","0.0.0-use.local"
"@medusajs/customer","","^2.0.7","0.0.0-use.local"
"@medusajs/customer","workspace","packages/modules/customer","0.0.0-use.local"
"@medusajs/dashboard","","2.0.7","0.0.0-use.local"
"@medusajs/dashboard","workspace","packages/admin/dashboard","0.0.0-use.local"
"@medusajs/event-bus-local","workspace","*","0.0.0-use.local"
"@medusajs/event-bus-local","","^2.0.7","0.0.0-use.local"
"@medusajs/event-bus-local","workspace","packages/modules/event-bus-local","0.0.0-use.local"
"@medusajs/event-bus-redis","","^2.0.7","0.0.0-use.local"
"@medusajs/event-bus-redis","workspace","packages/modules/event-bus-redis","0.0.0-use.local"
"@medusajs/file","","^2.0.7","0.0.0-use.local"
"@medusajs/file","workspace","packages/modules/file","0.0.0-use.local"
"@medusajs/file-local","","^2.0.7","0.0.0-use.local"
"@medusajs/file-local","workspace","packages/modules/providers/file-local","0.0.0-use.local"
"@medusajs/file-s3","","^2.0.7","0.0.0-use.local"
"@medusajs/file-s3","workspace","packages/modules/providers/file-s3","0.0.0-use.local"
"@medusajs/framework","workspace","^","0.0.0-use.local"
"@medusajs/framework","","^2.0.7","0.0.0-use.local"
"@medusajs/framework","workspace","packages/core/framework","0.0.0-use.local"
"@medusajs/fulfillment","workspace","^","0.0.0-use.local"
"@medusajs/fulfillment","","^2.0.7","0.0.0-use.local"
"@medusajs/fulfillment","workspace","packages/modules/fulfillment","0.0.0-use.local"
"@medusajs/fulfillment-manual","workspace","^","0.0.0-use.local"
"@medusajs/fulfillment-manual","","^2.0.7","0.0.0-use.local"
"@medusajs/fulfillment-manual","workspace","packages/modules/providers/fulfillment-manual","0.0.0-use.local"
"@medusajs/icons","","^2.0.1","0.0.0-use.local"
"@medusajs/icons","","2.0.7","0.0.0-use.local"
"@medusajs/icons","workspace","packages/design-system/icons","0.0.0-use.local"
"@medusajs/index","","^2.0.7","0.0.0-use.local"
"@medusajs/index","workspace","packages/modules/index","0.0.0-use.local"
"@medusajs/inventory","workspace","^","0.0.0-use.local"
"@medusajs/inventory","","^2.0.7","0.0.0-use.local"
"@medusajs/inventory","workspace","packages/modules/inventory","0.0.0-use.local"
"@medusajs/js-sdk","","2.0.7","0.0.0-use.local"
"@medusajs/js-sdk","workspace","packages/core/js-sdk","0.0.0-use.local"
"@medusajs/link-modules","workspace","^","0.0.0-use.local"
"@medusajs/link-modules","","^2.0.7","0.0.0-use.local"
"@medusajs/link-modules","workspace","packages/modules/link-modules","0.0.0-use.local"
"@medusajs/locking","","^2.0.7","0.0.0-use.local"
"@medusajs/locking","workspace","packages/modules/locking","0.0.0-use.local"
"@medusajs/locking-postgres","","^2.0.7","0.0.0-use.local"
"@medusajs/locking-postgres","workspace","packages/modules/providers/locking-postgres","0.0.0-use.local"
"@medusajs/locking-redis","","^2.0.7","0.0.0-use.local"
"@medusajs/locking-redis","workspace","packages/modules/providers/locking-redis","0.0.0-use.local"
"@medusajs/medusa","workspace","*","0.0.0-use.local"
"@medusajs/medusa","","^2.0.7","0.0.0-use.local"
"@medusajs/medusa","workspace","packages/medusa","0.0.0-use.local"
"@medusajs/medusa-oas-cli","","2.0.7","0.0.0-use.local"
"@medusajs/medusa-oas-cli","workspace","packages/cli/oas/medusa-oas-cli","0.0.0-use.local"
"@medusajs/modules-sdk","workspace","^","0.0.0-use.local"
"@medusajs/modules-sdk","","^2.0.7","0.0.0-use.local"
"@medusajs/modules-sdk","workspace","packages/core/modules-sdk","0.0.0-use.local"
"@medusajs/notification","","^2.0.7","0.0.0-use.local"
"@medusajs/notification","workspace","packages/modules/notification","0.0.0-use.local"
"@medusajs/notification-local","","^2.0.7","0.0.0-use.local"
"@medusajs/notification-local","workspace","packages/modules/providers/notification-local","0.0.0-use.local"
"@medusajs/notification-sendgrid","","^2.0.7","0.0.0-use.local"
"@medusajs/notification-sendgrid","workspace","packages/modules/providers/notification-sendgrid","0.0.0-use.local"
"@medusajs/oas-github-ci","workspace","packages/cli/oas/oas-github-ci","0.0.0-use.local"
"@medusajs/orchestration","","^2.0.7","0.0.0-use.local"
"@medusajs/orchestration","workspace","packages/core/orchestration","0.0.0-use.local"
"@medusajs/order","","^2.0.7","0.0.0-use.local"
"@medusajs/order","workspace","packages/modules/order","0.0.0-use.local"
"@medusajs/payment","workspace","^","0.0.0-use.local"
"@medusajs/payment","","^2.0.7","0.0.0-use.local"
"@medusajs/payment","workspace","packages/modules/payment","0.0.0-use.local"
"@medusajs/payment-stripe","","^2.0.7","0.0.0-use.local"
"@medusajs/payment-stripe","workspace","packages/modules/providers/payment-stripe","0.0.0-use.local"
"@medusajs/pricing","workspace","^","0.0.0-use.local"
"@medusajs/pricing","","^2.0.7","0.0.0-use.local"
"@medusajs/pricing","workspace","packages/modules/pricing","0.0.0-use.local"
"@medusajs/product","workspace","^","0.0.0-use.local"
"@medusajs/product","","^2.0.7","0.0.0-use.local"
"@medusajs/product","workspace","packages/modules/product","0.0.0-use.local"
"@medusajs/promotion","workspace","^","0.0.0-use.local"
"@medusajs/promotion","","^2.0.7","0.0.0-use.local"
"@medusajs/promotion","workspace","packages/modules/promotion","0.0.0-use.local"
"@medusajs/region","workspace","^","0.0.0-use.local"
"@medusajs/region","","^2.0.7","0.0.0-use.local"
"@medusajs/region","workspace","packages/modules/region","0.0.0-use.local"
"@medusajs/sales-channel","","^2.0.7","0.0.0-use.local"
"@medusajs/sales-channel","workspace","packages/modules/sales-channel","0.0.0-use.local"
"@medusajs/stock-location","workspace","^","0.0.0-use.local"
"@medusajs/stock-location","","^2.0.7","0.0.0-use.local"
"@medusajs/stock-location","workspace","packages/modules/stock-location","0.0.0-use.local"
"@medusajs/store","workspace","^","0.0.0-use.local"
"@medusajs/store","","^2.0.7","0.0.0-use.local"
"@medusajs/store","workspace","packages/modules/store","0.0.0-use.local"
"@medusajs/tax","workspace","^","0.0.0-use.local"
"@medusajs/tax","","^2.0.7","0.0.0-use.local"
"@medusajs/tax","workspace","packages/modules/tax","0.0.0-use.local"
"@medusajs/telemetry","","^2.0.7","0.0.0-use.local"
"@medusajs/telemetry","workspace","packages/medusa-telemetry","0.0.0-use.local"
"@medusajs/test-utils","workspace","*","0.0.0-use.local"
"@medusajs/test-utils","","^2.0.7","0.0.0-use.local"
"@medusajs/test-utils","workspace","packages/medusa-test-utils","0.0.0-use.local"
"@medusajs/toolbox","","^2.0.7","0.0.0-use.local"
"@medusajs/toolbox","workspace","packages/design-system/toolbox","0.0.0-use.local"
"@medusajs/types","workspace","^","0.0.0-use.local"
"@medusajs/types","","^2.0.7","0.0.0-use.local"
"@medusajs/types","","2.0.7","0.0.0-use.local"
"@medusajs/types","workspace","packages/core/types","0.0.0-use.local"
"@medusajs/ui","","4.0.1","0.0.0-use.local"
"@medusajs/ui","workspace","packages/design-system/ui","0.0.0-use.local"
"@medusajs/ui-preset","","^2.0.1","0.0.0-use.local"
"@medusajs/ui-preset","","2.0.7","0.0.0-use.local"
"@medusajs/ui-preset","workspace","packages/design-system/ui-preset","0.0.0-use.local"
"@medusajs/user","workspace","^","0.0.0-use.local"
"@medusajs/user","","^2.0.7","0.0.0-use.local"
"@medusajs/user","workspace","packages/modules/user","0.0.0-use.local"
"@medusajs/utils","workspace","^","0.0.0-use.local"
"@medusajs/utils","","^2.0.7","0.0.0-use.local"
"@medusajs/utils","","2.0.7","0.0.0-use.local"
"@medusajs/utils","workspace","packages/core/utils","0.0.0-use.local"
"@medusajs/workflow-engine-inmemory","workspace","*","0.0.0-use.local"
"@medusajs/workflow-engine-inmemory","","^2.0.7","0.0.0-use.local"
"@medusajs/workflow-engine-inmemory","workspace","packages/modules/workflow-engine-inmemory","0.0.0-use.local"
"@medusajs/workflow-engine-redis","","^2.0.7","0.0.0-use.local"
"@medusajs/workflow-engine-redis","workspace","packages/modules/workflow-engine-redis","0.0.0-use.local"
"@medusajs/workflows-sdk","","^2.0.7","0.0.0-use.local"
"@medusajs/workflows-sdk","workspace","packages/core/workflows-sdk","0.0.0-use.local"
"@mikro-orm/cli","npm","5.9.7","5.9.7"
"@mikro-orm/core","npm","5.9.7","5.9.7"
"@mikro-orm/knex","npm","5.9.7","5.9.7"
"@mikro-orm/migrations","npm","5.9.7","5.9.7"
"@mikro-orm/postgresql","npm","5.9.7","5.9.7"
"@msgpackr-extract/msgpackr-extract-darwin-arm64","npm","3.0.2","3.0.2"
"@msgpackr-extract/msgpackr-extract-darwin-x64","npm","3.0.2","3.0.2"
"@msgpackr-extract/msgpackr-extract-linux-arm","npm","3.0.2","3.0.2"
"@msgpackr-extract/msgpackr-extract-linux-arm64","npm","3.0.2","3.0.2"
"@msgpackr-extract/msgpackr-extract-linux-x64","npm","3.0.2","3.0.2"
"@msgpackr-extract/msgpackr-extract-win32-x64","npm","3.0.2","3.0.2"
"@mswjs/cookies","npm","^1.1.0","1.1.0"
"@mswjs/interceptors","npm","^0.29.0","0.29.1"
"@nodelib/fs.scandir","npm","2.1.5","2.1.5"
"@nodelib/fs.stat","npm","^2.0.2","2.0.5"
"@nodelib/fs.stat","npm","2.0.5","2.0.5"
"@nodelib/fs.walk","npm","^1.2.3","1.2.8"
"@nodelib/fs.walk","npm","^1.2.8","1.2.8"
"@npmcli/agent","npm","^2.0.0","2.2.2"
"@npmcli/fs","npm","^3.1.0","3.1.0"
"@oclif/command","npm","^1","1.8.36"
"@oclif/command","npm","^1.8.15","1.8.36"
"@oclif/config","npm","^1","1.18.17"
"@oclif/config","npm","^1.18.2","1.18.17"
"@oclif/config","npm","1.18.16","1.18.16"
"@oclif/config","npm","1.18.2","1.18.2"
"@oclif/errors","npm","^1.3.3","1.3.6"
"@oclif/errors","npm","^1.3.5","1.3.6"
"@oclif/errors","npm","^1.3.6","1.3.6"
"@oclif/errors","npm","1.3.5","1.3.5"
"@oclif/errors","npm","1.3.6","1.3.6"
"@oclif/help","npm","^1.0.1","1.0.15"
"@oclif/linewrap","npm","^1.0.0","1.0.0"
"@oclif/parser","npm","^3.8.0","3.8.17"
"@oclif/parser","npm","^3.8.16","3.8.17"
"@oclif/parser","npm","^3.8.17","3.8.17"
"@oclif/plugin-help","npm","^3","3.3.1"
"@oclif/screen","npm","^1.0.4","1.0.4"
"@open-draft/deferred-promise","npm","^2.2.0","2.2.0"
"@open-draft/logger","npm","^0.3.0","0.3.0"
"@open-draft/until","npm","^2.0.0","2.1.0"
"@open-draft/until","npm","^2.1.0","2.1.0"
"@opentelemetry/api","npm","^1.0.0","1.9.0"
"@opentelemetry/api","npm","^1.9.0","1.9.0"
"@opentelemetry/api-logs","npm","0.53.0","0.53.0"
"@opentelemetry/context-async-hooks","npm","1.26.0","1.26.0"
"@opentelemetry/core","npm","^1.1.0","1.26.0"
"@opentelemetry/core","npm","1.26.0","1.26.0"
"@opentelemetry/exporter-logs-otlp-grpc","npm","0.53.0","0.53.0"
"@opentelemetry/exporter-logs-otlp-http","npm","0.53.0","0.53.0"
"@opentelemetry/exporter-logs-otlp-proto","npm","0.53.0","0.53.0"
"@opentelemetry/exporter-trace-otlp-grpc","npm","0.53.0","0.53.0"
"@opentelemetry/exporter-trace-otlp-http","npm","0.53.0","0.53.0"
"@opentelemetry/exporter-trace-otlp-proto","npm","0.53.0","0.53.0"
"@opentelemetry/exporter-zipkin","npm","1.26.0","1.26.0"
"@opentelemetry/instrumentation","npm","^0.53.0","0.53.0"
"@opentelemetry/instrumentation","npm","0.53.0","0.53.0"
"@opentelemetry/instrumentation-pg","npm","^0.44.0","0.44.0"
"@opentelemetry/otlp-exporter-base","npm","0.53.0","0.53.0"
"@opentelemetry/otlp-grpc-exporter-base","npm","0.53.0","0.53.0"
"@opentelemetry/otlp-transformer","npm","0.53.0","0.53.0"
"@opentelemetry/propagator-b3","npm","1.26.0","1.26.0"
"@opentelemetry/propagator-jaeger","npm","1.26.0","1.26.0"
"@opentelemetry/resources","npm","^1.26.0","1.26.0"
"@opentelemetry/resources","npm","1.26.0","1.26.0"
"@opentelemetry/sdk-logs","npm","0.53.0","0.53.0"
"@opentelemetry/sdk-metrics","npm","1.26.0","1.26.0"
"@opentelemetry/sdk-node","npm","^0.53.0","0.53.0"
"@opentelemetry/sdk-trace-base","npm","1.26.0","1.26.0"
"@opentelemetry/sdk-trace-node","npm","^1.26.0","1.26.0"
"@opentelemetry/sdk-trace-node","npm","1.26.0","1.26.0"
"@opentelemetry/semantic-conventions","npm","^1.27.0","1.27.0"
"@opentelemetry/semantic-conventions","npm","1.27.0","1.27.0"
"@opentelemetry/sql-common","npm","^0.40.1","0.40.1"
"@pkgjs/parseargs","npm","^0.11.0","0.11.0"
"@polka/url","npm","^1.0.0-next.24","1.0.0-next.27"
"@protobufjs/aspromise","npm","^1.1.1","1.1.2"
"@protobufjs/aspromise","npm","^1.1.2","1.1.2"
"@protobufjs/base64","npm","^1.1.2","1.1.2"
"@protobufjs/codegen","npm","^2.0.4","2.0.4"
"@protobufjs/eventemitter","npm","^1.1.0","1.1.0"
"@protobufjs/fetch","npm","^1.1.0","1.1.0"
"@protobufjs/float","npm","^1.0.2","1.0.2"
"@protobufjs/inquire","npm","^1.1.0","1.1.0"
"@protobufjs/path","npm","^1.1.2","1.1.2"
"@protobufjs/pool","npm","^1.1.0","1.1.0"
"@protobufjs/utf8","npm","^1.1.0","1.1.0"
"@radix-ui/number","npm","1.0.1","1.0.1"
"@radix-ui/number","npm","1.1.0","1.1.0"
"@radix-ui/primitive","npm","1.0.0","1.0.0"
"@radix-ui/primitive","npm","1.0.1","1.0.1"
"@radix-ui/primitive","npm","1.1.0","1.1.0"
"@radix-ui/react-accordion","npm","1.2.0","1.2.0"
"@radix-ui/react-alert-dialog","npm","1.1.1","1.1.1"
"@radix-ui/react-arrow","npm","1.0.3","1.0.3"
"@radix-ui/react-arrow","npm","1.1.0","1.1.0"
"@radix-ui/react-avatar","npm","1.1.0","1.1.0"
"@radix-ui/react-checkbox","npm","1.1.1","1.1.1"
"@radix-ui/react-collapsible","npm","1.1.0","1.1.0"
"@radix-ui/react-collection","npm","1.0.3","1.0.3"
"@radix-ui/react-collection","npm","1.1.0","1.1.0"
"@radix-ui/react-compose-refs","npm","1.0.0","1.0.0"
"@radix-ui/react-compose-refs","npm","1.0.1","1.0.1"
"@radix-ui/react-compose-refs","npm","1.1.0","1.1.0"
"@radix-ui/react-context","npm","1.0.0","1.0.0"
"@radix-ui/react-context","npm","1.0.1","1.0.1"
"@radix-ui/react-context","npm","1.1.0","1.1.0"
"@radix-ui/react-dialog","npm","1.0.0","1.0.0"
"@radix-ui/react-dialog","npm","1.1.1","1.1.1"
"@radix-ui/react-direction","npm","1.0.1","1.0.1"
"@radix-ui/react-direction","npm","1.1.0","1.1.0"
"@radix-ui/react-dismissable-layer","npm","1.0.0","1.0.0"
"@radix-ui/react-dismissable-layer","npm","1.0.4","1.0.4"
"@radix-ui/react-dismissable-layer","npm","1.1.0","1.1.0"
"@radix-ui/react-dropdown-menu","npm","2.1.1","2.1.1"
"@radix-ui/react-focus-guards","npm","1.0.0","1.0.0"
"@radix-ui/react-focus-guards","npm","1.0.1","1.0.1"
"@radix-ui/react-focus-guards","npm","1.1.0","1.1.0"
"@radix-ui/react-focus-scope","npm","1.0.0","1.0.0"
"@radix-ui/react-focus-scope","npm","1.0.3","1.0.3"
"@radix-ui/react-focus-scope","npm","1.1.0","1.1.0"
"@radix-ui/react-id","npm","1.0.0","1.0.0"
"@radix-ui/react-id","npm","1.0.1","1.0.1"
"@radix-ui/react-id","npm","1.1.0","1.1.0"
