package,protocol,requested,resolved
"@babel/helper-function-name","npm","^7.23.0","7.23.0"
"@babel/helper-hoist-variables","npm","^7.22.5","7.22.5"
"@babel/helper-member-expression-to-functions","npm","^7.23.0","7.24.5"
"@babel/helper-member-expression-to-functions","npm","^7.24.5","7.24.5"
"@babel/helper-member-expression-to-functions","npm","^7.24.8","7.24.8"
"@babel/helper-module-imports","npm","^7.10.4","7.24.3"
"@babel/helper-module-imports","npm","^7.22.15","7.24.3"
"@babel/helper-module-imports","npm","^7.24.1","7.24.3"
"@babel/helper-module-imports","npm","^7.24.3","7.24.3"
"@babel/helper-module-imports","npm","^7.24.7","7.24.7"
"@babel/helper-module-transforms","npm","^7.23.3","7.24.5"
"@babel/helper-module-transforms","npm","^7.24.5","7.24.5"
"@babel/helper-module-transforms","npm","^7.24.8","7.25.2"
"@babel/helper-module-transforms","npm","^7.25.2","7.25.2"
"@babel/helper-optimise-call-expression","npm","^7.22.5","7.22.5"
"@babel/helper-optimise-call-expression","npm","^7.24.7","7.24.7"
"@babel/helper-plugin-utils","npm","^7.0.0","7.24.5"
"@babel/helper-plugin-utils","npm","^7.10.4","7.24.5"
"@babel/helper-plugin-utils","npm","^7.12.13","7.24.5"
"@babel/helper-plugin-utils","npm","^7.14.5","7.24.5"
"@babel/helper-plugin-utils","npm","^7.18.6","7.24.5"
"@babel/helper-plugin-utils","npm","^7.20.2","7.24.8"
"@babel/helper-plugin-utils","npm","^7.22.5","7.24.5"
"@babel/helper-plugin-utils","npm","^7.24.0","7.24.5"
"@babel/helper-plugin-utils","npm","^7.24.5","7.24.5"
"@babel/helper-plugin-utils","npm","^7.24.7","7.24.8"
"@babel/helper-plugin-utils","npm","^7.24.8","7.24.8"
"@babel/helper-plugin-utils","npm","^7.8.0","7.24.5"
"@babel/helper-plugin-utils","npm","^7.8.3","7.24.5"
"@babel/helper-remap-async-to-generator","npm","^7.22.20","7.22.20"
"@babel/helper-replace-supers","npm","^7.24.1","7.24.1"
"@babel/helper-replace-supers","npm","^7.24.7","7.25.0"
"@babel/helper-replace-supers","npm","^7.25.0","7.25.0"
"@babel/helper-simple-access","npm","^7.22.5","7.24.5"
"@babel/helper-simple-access","npm","^7.24.5","7.24.5"
"@babel/helper-simple-access","npm","^7.24.7","7.24.7"
"@babel/helper-skip-transparent-expression-wrappers","npm","^7.22.5","7.22.5"
"@babel/helper-skip-transparent-expression-wrappers","npm","^7.24.7","7.24.7"
"@babel/helper-split-export-declaration","npm","^7.24.5","7.24.5"
"@babel/helper-string-parser","npm","^7.24.1","7.24.1"
"@babel/helper-string-parser","npm","^7.24.8","7.24.8"
"@babel/helper-validator-identifier","npm","^7.22.20","7.24.5"
"@babel/helper-validator-identifier","npm","^7.24.5","7.24.5"
"@babel/helper-validator-identifier","npm","^7.24.7","7.24.7"
"@babel/helper-validator-option","npm","^7.23.5","7.23.5"
"@babel/helper-validator-option","npm","^7.24.8","7.24.8"
"@babel/helper-wrap-function","npm","^7.22.20","7.24.5"
"@babel/helpers","npm","^7.24.5","7.24.5"
"@babel/helpers","npm","^7.25.0","7.25.6"
"@babel/highlight","npm","^7.10.4","7.24.5"
"@babel/highlight","npm","^7.24.2","7.24.5"
"@babel/highlight","npm","^7.24.7","7.24.7"
"@babel/parser","npm","^7.1.0","7.24.5"
"@babel/parser","npm","^7.14.0","7.25.6"
"@babel/parser","npm","^7.14.7","7.24.5"
"@babel/parser","npm","^7.20.7","7.24.5"
"@babel/parser","npm","^7.23.9","7.24.5"
"@babel/parser","npm","^7.24.0","7.24.5"
"@babel/parser","npm","^7.24.5","7.24.5"
"@babel/parser","npm","^7.25.0","7.25.6"
"@babel/parser","npm","^7.25.6","7.25.6"
"@babel/parser","npm","^7.3.3","7.24.5"
